PDB_ID	Component_ID	InChI
2N3Y	MH0	InChI=1S/C34H36N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h13-16H,7-12H2,1-6H3,(H,39,40)(H,41,42);/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-;
2NB9	ZN	InChI=1S/Zn/q+2
5B1D	CA	InChI=1S/Ca/q+2
5B1E	CA	InChI=1S/Ca/q+2
5B7P	MTA	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1
5B7Q	5AD	InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1
5F2C	NAP	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1
5F30	CU	InChI=1S/Cu/q+2
5F30	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5F30	PEG	InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2
5F36	5UE	InChI=1S/C8H11N3O2S/c1-4(9)7(13)11-8-10-6(3-14-8)5(2)12/h3-4H,9H2,1-2H3,(H,10,11,13)/p+1/t4-/m1/s1
5F36	CL	InChI=1S/ClH/h1H/p-1
5F3A	5U9	InChI=1S/C9H11N3O2S/c1-5(13)7-4-15-9(11-7)12-8(14)6-2-10-3-6/h4,6,10H,2-3H2,1H3,(H,11,12,14)/p+1
5F53	CD	InChI=1S/Cd/q+2
5F53	CL	InChI=1S/ClH/h1H/p-1
5F6C	MG	InChI=1S/Mg/q+2
5F6C	ZN	InChI=1S/Zn/q+2
5F75	CU	InChI=1S/Cu/q+2
5F76	MTA	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1
5F77	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7G	RET	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+
5F7G	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5F7J	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7J	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5F7O	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7X	TBN	InChI=1S/C11H14N4O4/c12-9-5-1-2-15(10(5)14-4-13-9)11-8(18)7(17)6(3-16)19-11/h1-2,4,6-8,11,16-18H,3H2,(H2,12,13,14)/t6-,7-,8-,11-/m1/s1
5F8P	FIJ	InChI=1S/C18H18Cl2O4/c1-17(2)8-18(3,9-4-11(19)14(22)6-13(9)21)24-16-7-15(23)12(20)5-10(16)17/h4-7,21-23H,8H2,1-3H3/t18-/m0/s1
5F8P	AKG	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)
5F8P	FE2	InChI=1S/Fe/q+2
5F8T	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F8X	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F8Z	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F9K	DUP	InChI=1S/C9H16N3O13P3/c13-5-3-8(12-2-1-7(14)10-9(12)15)24-6(5)4-23-26(16,17)11-27(18,19)25-28(20,21)22/h1-2,5-6,8,13H,3-4H2,(H,10,14,15)(H2,20,21,22)(H3,11,16,17,18,19)/t5-,6+,8+/m0/s1
5F9K	MG	InChI=1S/Mg/q+2
5FAK	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5FAZ	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5FAZ	RET	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+
5FB7	ACD	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-
5FBJ	AKG	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)
5FBJ	NMM	InChI=1S/C7H16N4O2/c1-10-7(9)11-4-2-3-5(8)6(12)13/h5H,2-4,8H2,1H3,(H,12,13)(H3,9,10,11)/t5-/m0/s1
5FBJ	ZN	InChI=1S/Zn/q+2
5FPF	ZN	InChI=1S/Zn/q+2
5FPF	5ZI	InChI=1S/C27H21N5O3/c33-24(15-14-23-30-21-8-2-1-7-20(21)27(35)32-23)29-19-12-10-18(11-13-19)26(34)31-22-9-3-5-17-6-4-16-28-25(17)22/h1-13,16H,14-15H2,(H,29,33)(H,31,34)(H,30,32,35)
5FPG	ZN	InChI=1S/Zn/q+2
5FPG	Q28	InChI=1S/C28H23N5O3/c1-17-5-2-8-21-25(17)32-23(33-28(21)36)14-15-24(34)30-20-12-10-19(11-13-20)27(35)31-22-9-3-6-18-7-4-16-29-26(18)22/h2-13,16H,14-15H2,1H3,(H,30,34)(H,31,35)(H,32,33,36)
5FQ4	CA	InChI=1S/Ca/q+2
5GKX	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5GL2	CA	InChI=1S/Ca/q+2
5GL3	MG	InChI=1S/Mg/q+2
5GL4	MN	InChI=1S/Mn/q+2
5GN8	CA	InChI=1S/Ca/q+2
5GQR	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5GR8	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5H4I	7HQ	InChI=1S/C8H8N2O/c11-6-10-5-9-7-3-1-2-4-8(7)10/h1-5,11H,6H2
5H4I	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5HL9	AIX	InChI=1S/C16H21N3O4S/c1-16(2)12(15(22)23)19-14(24-16)10(8-20)18-13(21)11(17)9-6-4-3-5-7-9/h3-8,10-12,14,19H,17H2,1-2H3,(H,18,21)(H,22,23)/t10-,11-,12+,14-/m1/s1
5HL9	M0E	InChI=1S/C69H106N5O34P/c1-30(2)15-14-17-31(3)18-19-33(5)22-25-68(9,10)24-13-12-16-32(4)23-26-96-41(61(90)91)29-98-109(94,95)108-66-56(57(107-67(71)92)69(11,93)58(106-66)59(70)88)105-63-44(73-36(8)77)47(82)54(40(101-63)28-97-64-51(86)48(83)45(80)39(27-75)100-64)103-62-43(72-35(7)76)46(81)53(34(6)99-62)102-65-52(87)49(84)50(85)55(104-65)60(89)74-42-37(78)20-21-38(42)79/h13,15,18,20-21,23-24,34,39-41,43-58,62-66,75,80-87,93H,5,12,14,16-17,19,22,25-29H2,1-4,6-11H3,(H2,70,88)(H2,71,92)(H,72,76)(H,73,77)(H,90,91)(H,94,95)(H2,74,78,79,89)/t34-,39-,40-,41-,43-,44-,45-,46-,47-,48+,49+,50-,51-,52-,53-,54-,55+,56-,57-,58-,62+,63+,64-,65-,66-,69+/m1/s1
5HLA	63U	InChI=1S/C16H19N3O4S/c1-9-8-24-15(19-13(9)16(22)23)11(7-20)18-14(21)12(17)10-5-3-2-4-6-10/h2-7,11-12,15,19H,8,17H2,1H3,(H,18,21)(H,22,23)/t11-,12-,15+/m1/s1
5HLA	M0E	InChI=1S/C69H106N5O34P/c1-30(2)15-14-17-31(3)18-19-33(5)22-25-68(9,10)24-13-12-16-32(4)23-26-96-41(61(90)91)29-98-109(94,95)108-66-56(57(107-67(71)92)69(11,93)58(106-66)59(70)88)105-63-44(73-36(8)77)47(82)54(40(101-63)28-97-64-51(86)48(83)45(80)39(27-75)100-64)103-62-43(72-35(7)76)46(81)53(34(6)99-62)102-65-52(87)49(84)50(85)55(104-65)60(89)74-42-37(78)20-21-38(42)79/h13,15,18,20-21,23-24,34,39-41,43-58,62-66,75,80-87,93H,5,12,14,16-17,19,22,25-29H2,1-4,6-11H3,(H2,70,88)(H2,71,92)(H,72,76)(H,73,77)(H,90,91)(H,94,95)(H2,74,78,79,89)/t34-,39-,40-,41-,43-,44-,45-,46-,47-,48+,49+,50-,51-,52-,53-,54-,55+,56-,57-,58-,62+,63+,64-,65-,66-,69+/m1/s1
5HLB	M0E	InChI=1S/C69H106N5O34P/c1-30(2)15-14-17-31(3)18-19-33(5)22-25-68(9,10)24-13-12-16-32(4)23-26-96-41(61(90)91)29-98-109(94,95)108-66-56(57(107-67(71)92)69(11,93)58(106-66)59(70)88)105-63-44(73-36(8)77)47(82)54(40(101-63)28-97-64-51(86)48(83)45(80)39(27-75)100-64)103-62-43(72-35(7)76)46(81)53(34(6)99-62)102-65-52(87)49(84)50(85)55(104-65)60(89)74-42-37(78)20-21-38(42)79/h13,15,18,20-21,23-24,34,39-41,43-58,62-66,75,80-87,93H,5,12,14,16-17,19,22,25-29H2,1-4,6-11H3,(H2,70,88)(H2,71,92)(H,72,76)(H,73,77)(H,90,91)(H,94,95)(H2,74,78,79,89)/t34-,39-,40-,41-,43-,44-,45-,46-,47-,48+,49+,50-,51-,52-,53-,54-,55+,56-,57-,58-,62+,63+,64-,65-,66-,69+/m1/s1
5HLB	AZR	InChI=1S/C13H19N5O8S2/c1-6(18-28(23,24)25)7(4-19)15-10(20)9(8-5-27-12(14)16-8)17-26-13(2,3)11(21)22/h4-7,18H,1-3H3,(H2,14,16)(H,15,20)(H,21,22)(H,23,24,25)/b17-9-/t6-,7+/m0/s1
5HLD	63V	InChI=1S/C14H14N2O4S2/c1-8-7-22-13(16-12(8)14(19)20)10(6-17)15-11(18)5-9-3-2-4-21-9/h2-4,6,10,13H,1,5,7H2,(H,15,18)(H,19,20)/t10-,13+/m1/s1
5HLD	M0E	InChI=1S/C69H106N5O34P/c1-30(2)15-14-17-31(3)18-19-33(5)22-25-68(9,10)24-13-12-16-32(4)23-26-96-41(61(90)91)29-98-109(94,95)108-66-56(57(107-67(71)92)69(11,93)58(106-66)59(70)88)105-63-44(73-36(8)77)47(82)54(40(101-63)28-97-64-51(86)48(83)45(80)39(27-75)100-64)103-62-43(72-35(7)76)46(81)53(34(6)99-62)102-65-52(87)49(84)50(85)55(104-65)60(89)74-42-37(78)20-21-38(42)79/h13,15,18,20-21,23-24,34,39-41,43-58,62-66,75,80-87,93H,5,12,14,16-17,19,22,25-29H2,1-4,6-11H3,(H2,70,88)(H2,71,92)(H,72,76)(H,73,77)(H,90,91)(H,94,95)(H2,74,78,79,89)/t34-,39-,40-,41-,43-,44-,45-,46-,47-,48+,49+,50-,51-,52-,53-,54-,55+,56-,57-,58-,62+,63+,64-,65-,66-,69+/m1/s1
5HOT	2SQ	InChI=1S/C26H28FNO5/c1-14-15-11-8-12-32-22(15)19(27)13-18(14)20-16-9-6-7-10-17(16)24(29)28(5)21(20)23(25(30)31)33-26(2,3)4/h6-7,9-10,13,23H,8,11-12H2,1-5H3,(H,30,31)/t23-/m0/s1
5HRN	CAC	InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1
5HRN	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5HRN	65P	InChI=1S/C31H32F2N2O4/c1-17-20-7-6-14-38-25(20)11-9-21(17)27-22-12-13-35(16-19-8-10-23(32)24(33)15-19)29(22)34-18(2)26(27)28(30(36)37)39-31(3,4)5/h8-13,15,28H,6-7,14,16H2,1-5H3,(H,36,37)/t28-/m0/s1
5HRP	CAC	InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1
5HRP	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5HRP	65P	InChI=1S/C31H32F2N2O4/c1-17-20-7-6-14-38-25(20)11-9-21(17)27-22-12-13-35(16-19-8-10-23(32)24(33)15-19)29(22)34-18(2)26(27)28(30(36)37)39-31(3,4)5/h8-13,15,28H,6-7,14,16H2,1-5H3,(H,36,37)/t28-/m0/s1
5HRR	CAC	InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1
5HRR	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5HRR	65P	InChI=1S/C31H32F2N2O4/c1-17-20-7-6-14-38-25(20)11-9-21(17)27-22-12-13-35(16-19-8-10-23(32)24(33)15-19)29(22)34-18(2)26(27)28(30(36)37)39-31(3,4)5/h8-13,15,28H,6-7,14,16H2,1-5H3,(H,36,37)/t28-/m0/s1
5HRS	CAC	InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1
5HRS	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5HRS	65P	InChI=1S/C31H32F2N2O4/c1-17-20-7-6-14-38-25(20)11-9-21(17)27-22-12-13-35(16-19-8-10-23(32)24(33)15-19)29(22)34-18(2)26(27)28(30(36)37)39-31(3,4)5/h8-13,15,28H,6-7,14,16H2,1-5H3,(H,36,37)/t28-/m0/s1
5HWI	SIN	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)
5HWK	BEZ	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)
5HWK	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5HZ6	65Y	InChI=1S/C22H22ClNO2/c1-12(2)14-6-5-7-15(10-14)19-17-11-16(23)8-9-18(17)24-21(13(3)4)20(19)22(25)26/h5-13H,1-4H3,(H,25,26)
5HZ8	65Z	InChI=1S/C21H18Cl2N2O2/c22-14-11-15-17(13-7-3-1-4-8-13)18(21(26)27)20(24-19(15)16(23)12-14)25-9-5-2-6-10-25/h1,3-4,7-8,11-12H,2,5-6,9-10H2,(H,26,27)
5HZ8	DMS	InChI=1S/C2H6OS/c1-4(2)3/h1-2H3
5HZ9	5M8	InChI=1S/C17H12ClNO2/c1-10-15(17(20)21)16(11-5-3-2-4-6-11)13-9-12(18)7-8-14(13)19-10/h2-9H,1H3,(H,20,21)
5HZ9	CL	InChI=1S/ClH/h1H/p-1
5I0B	67U	InChI=1S/C13H14BrN5/c1-7(2)11-9(6-19(3)18-11)12-16-10-4-8(14)5-15-13(10)17-12/h4-7H,1-3H3,(H,15,16,17)
5I0D	MG	InChI=1S/Mg/q+2
5I0D	CA	InChI=1S/Ca/q+2
5I0D	CL	InChI=1S/ClH/h1H/p-1
5I0D	GLC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1
5I0E	GLC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1
5I0E	CA	InChI=1S/Ca/q+2
5I0E	MES	InChI=1S/C6H13NO4S/c8-12(9,10)6-3-7-1-4-11-5-2-7/h1-6H2,(H,8,9,10)
5I0F	GLC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1
5I0F	BGC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1
5I0F	CA	InChI=1S/Ca/q+2
5I0F	PGE	InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2
5I0G	GLC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1
5I0G	SIN	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)
5I0R	FE	InChI=1S/Fe/q+3
5I0R	DCY	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m1/s1
5I0R	CL	InChI=1S/ClH/h1H/p-1
5I0S	FE	InChI=1S/Fe/q+3
5I0S	THJ	InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2
5I0T	FE	InChI=1S/Fe/q+3
5I0T	THJ	InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2
5IDK	6A8	InChI=1S/C25H35BN6O5/c27-14-18-10-8-17(9-11-18)13-21(31-23(34)19-5-2-1-3-6-19)24(35)32-22(7-4-12-30-25(28)29)26-36-16-20(15-33)37-26/h1-3,5-6,8-11,20-22,33H,4,7,12-16,27H2,(H,31,34)(H,32,35)(H4,28,29,30)/t20-,21-,22-/m0/s1
5IDK	DMS	InChI=1S/C2H6OS/c1-4(2)3/h1-2H3
5J01	MG	InChI=1S/Mg/q+2
5J01	NH4	InChI=1S/H3N/h1H3/p+1
5J02	MG	InChI=1S/Mg/q+2
5J02	NH4	InChI=1S/H3N/h1H3/p+1
5J51	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5J51	IPA	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3
5J51	PEG	InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2
5J51	GLA	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1
5JM1	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5JM1	PEG	InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2
5JM1	GLA	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1
5JM1	GAL	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6-/m1/s1
5JM1	AMG	InChI=1S/C7H14O6/c1-12-7-6(11)5(10)4(9)3(2-8)13-7/h3-11H,2H2,1H3/t3-,4+,5+,6-,7+/m1/s1
5K3W	PLP	InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)
5K3W	GAB	InChI=1S/C7H7NO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,8H2,(H,9,10)
5KNG	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5KNH	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5KOY	ATP	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1
5KPQ	6X2	InChI=1S/C24H27FN4O3/c1-3-10-27-11-12-28(14-16(27)2)23(31)19-13-17(8-9-20(19)25)15-29-21-7-5-4-6-18(21)22(30)26-24(29)32/h4-9,13,16H,3,10-12,14-15H2,1-2H3,(H,26,30,32)/t16-/m1/s1
5L38	NA	InChI=1S/Na/q+1
5L38	CL	InChI=1S/ClH/h1H/p-1
5L39	CL	InChI=1S/ClH/h1H/p-1
